item_id,item_name,profit,profit_price_up,profit_cost_down
353839,Agurkesalat eller Hvidløgdressing,112.0,117.60000000000001,112.0
353842,Champignon eller pepperoni,504.0,529.2,504.0
353845,Bearnaise sauce,400.0,420.0,400.0
353847,Kyllingekød eller Smårejer eller kødsauce,330.0,346.5,330.0
353910,BLANDET SALAT,429.0,450.45,429.0
353918,PITA med tun,440.0,462.0,440.0
355210,Unspecified,0.0,0.0,0.0
356871,Unspecified,0.0,0.0,0.0
357119,Pant,21.0,22.05,21.0
359111,Unspecified,0.0,0.0,0.0
363759,Unspecified,0.0,0.0,0.0
363828,COCKTAILSAUCE,232.0,243.60000000000002,232.0
363830,SALSA,290.0,304.5,290.0
363831,CREME FRAICHE,230.0,241.5,230.0
363917,Juice,350.0,367.5,350.0
363940,Pose,260.0,273.0,260.0
364744,Vand,170.0,178.5,170.0
364755,Rundstykker bager,209.0,219.45,209.0
367993,Salater,490.0,514.5,490.0
367997,Te - kop,450.0,472.5,450.0
368024,Muffin,255.0,267.75,255.0
368473,Unspecified,0.0,0.0,0.0
369214,Unspecified,0.0,0.0,0.0
369488,Unspecified,0.0,0.0,0.0
370694,Unspecified,0.0,0.0,0.0
371905,Unspecified,0.0,0.0,0.0
372682,"Brøl, pilsner",490.0,514.5,490.0
372866,Unspecified,0.0,0.0,0.0
377872,The,264.0,277.20000000000005,264.0
379017,Unspecified,0.0,0.0,0.0
379315,Unspecified,0.0,0.0,0.0
380095,+ Pose,184.0,193.20000000000002,184.0
380096,+ Pose,476.0,499.8,476.0
380097,+ Pose,376.0,394.8,376.0
380113,+ Pose,404.0,424.20000000000005,404.0
380142,+ Ost/bacon,234.0,245.70000000000002,234.0
380521,Unspecified,0.0,0.0,0.0
381605,Unspecified,0.0,0.0,0.0
381817,Vand glas,260.0,273.0,260.0
382647,Ekstra ost,175.0,183.75,175.0
382677,Groft brød - lille,69.0,72.45,69.0
382678,Groft brød - stor,160.0,168.0,160.0
385496,+ Ost/bacon,312.0,327.6,312.0
386688,Unspecified,0.0,0.0,0.0
387902,Ekstra Ost/pr. Skiv,110.0,115.5,110.0
387928,Ekstra Dyppelse,340.0,357.0,340.0
388164,+ Bøf/kød,340.0,357.0,340.0
388289,+ Dyppelse,70.0,73.5,70.0
389772,+ Dino nugget,300.0,315.00000000000006,300.0
389908,Ekstra Kamsteg pr.skiv,225.0,236.25,225.0
389915,Ekstra Bøf 150g,440.0,462.0,440.0
389967,Ekstra Stor Pommes frites,208.0,218.4,208.0
389971,Ekstra stor vand til børnemenu,450.0,472.5,450.0
390544,Chilimayo,420.0,441.0,420.0
390546,Sur Sød Chili,375.0,393.75,375.0
394318,Pose,324.0,340.2,324.0
398681,Knækbrød,165.0,173.25,165.0
398683,Romkugler,195.0,204.75,195.0
399999,Afskåret,0.0,0.0,0.0
400000,Brugskunst,0.0,0.0,0.0
400002,Dekoration,0.0,0.0,0.0
400005,Kort,0.0,0.0,0.0
400007,Lys,0.0,0.0,0.0
400008,Planter,0.0,0.0,0.0
400009,Begravelses binderi,0.0,0.0,0.0
400412,Unspecified,0.0,0.0,0.0
401847,Rejechips,510.0,535.5,510.0
401885,Ris,320.0,336.0,320.0
401904,Fanta,300.0,315.0,300.0
404310,+ Sovs,230.0,241.5,230.0
404311,+ Pose,44.0,46.2,44.0
404320,+ Dyppelse,130.0,136.5,130.0
404327,+ Fisk,400.0,420.0,400.0
404329,+ Brød,312.0,327.6,312.0
404511,Chili i bæger,140.0,147.0,140.0
404512,Hvidløg i bæger,205.0,215.25,205.0
404513,"Cola 0,33",380.0,399.0,380.0
404514,"Cola 0,5",420.0,441.0,420.0
405249,Chili/Hvidløg,80.0,84.0,80.0
407821,Extra,0.0,0.0,0.0
408387,+ Fisk,270.0,283.5,270.0
408391,+ Dyppelse,140.0,147.0,140.0
415814,Unspecified,0.0,0.0,0.0
416847,Diverse,0.0,0.0,0.0
416999,Unspecified,0.0,0.0,0.0
417150,Unspecified,0.0,0.0,0.0
417165,Unspecified,0.0,0.0,0.0
417514,Unspecified,0.0,0.0,0.0
417642,Unspecified,0.0,0.0,0.0
417785,Unspecified,0.0,0.0,0.0
418826,Unspecified,0.0,0.0,0.0
418844,Vedhæng,0.0,0.0,0.0
418845,Kæder,0.0,0.0,0.0
418851,Ringe,0.0,0.0,0.0
418852,Vielsesringe,0.0,0.0,0.0
418853,Øresmykker,0.0,0.0,0.0
418857,Armbånd,0.0,0.0,0.0
418863,Unspecified,0.0,0.0,0.0
418882,Unspecified,0.0,0.0,0.0
419354,Unspecified,0.0,0.0,0.0
420715,Unspecified,0.0,0.0,0.0
420750,Unspecified,0.0,0.0,0.0
420837,Unspecified,0.0,0.0,0.0
422918,Unspecified,0.0,0.0,0.0
423047,Poser,68.0,71.4,68.0
429138,Unspecified,0.0,0.0,0.0
429525,Unspecified,0.0,0.0,0.0
429542,Unspecified,0.0,0.0,0.0
429655,1 Glas Vin,350.0,367.5,350.0
429713,Spiritus (32 kr),512.0,537.6,512.0
430887,Unspecified,0.0,0.0,0.0
431061,Små Chips.,330.0,346.5,330.0
431074,Is. (5),110.0,115.5,110.0
431082,Kage. (6),78.0,81.9,78.0
431083,Kage. (10),380.0,399.0,380.0
431084,Boller. (6),306.0,321.3,306.0
431230,Unspecified,0.0,0.0,0.0
431269,Unspecified,0.0,0.0,0.0
431381,Diverse,0.0,0.0,0.0
431592,Unspecified,0.0,0.0,0.0
431739,Unspecified,0.0,0.0,0.0
431916,Unspecified,0.0,0.0,0.0
433257,Unspecified,0.0,0.0,0.0
433317,Unspecified,0.0,0.0,0.0
433495,Unspecified,0.0,0.0,0.0
433694,Kage / boller variabel pris,0.0,0.0,0.0
433782,Frokost menu,0.0,0.0,0.0
433824,Kaffebord,0.0,0.0,0.0
433871,Unspecified,0.0,0.0,0.0
433945,Div. Mad variabel pris,0.0,0.0,0.0
433953,Kiosk variabel pris,0.0,0.0,0.0
433957,Drikkevare Div. variabel pris,0.0,0.0,0.0
434072,Kildevand,285.0,299.25,285.0
435950,Børneklip Variabel Pris,0.0,0.0,0.0
436138,Unspecified,0.0,0.0,0.0
436255,Unspecified,0.0,0.0,0.0
436333,Hele Lam,0.0,0.0,0.0
436334,Lammekølle,0.0,0.0,0.0
436335,Lammebov,0.0,0.0,0.0
436336,Lammekotelet,0.0,0.0,0.0
436340,Lammehals,0.0,0.0,0.0
436341,Lammechups,0.0,0.0,0.0
436342,Lammeskank,0.0,0.0,0.0
436343,Lammelever,0.0,0.0,0.0
436344,Okse Lår,0.0,0.0,0.0
436345,Hakket Kød,0.0,0.0,0.0
436346,Okse Tykkam,0.0,0.0,0.0
436347,Okse Klump,0.0,0.0,0.0
436348,Okse Steak,0.0,0.0,0.0
436349,Okse Hale,0.0,0.0,0.0
436350,Okse Skank,0.0,0.0,0.0
436351,Okse Mørbrad,0.0,0.0,0.0
436353,Okse Bøf,0.0,0.0,0.0
436358,Kød Med Ben,0.0,0.0,0.0
436359,Okse Tyndsteg,0.0,0.0,0.0
436361,Hele Kylling,0.0,0.0,0.0
436378,Hamburger,0.0,0.0,0.0
436443,Unspecified,0.0,0.0,0.0
438130,Unspecified,0.0,0.0,0.0
438248,Unspecified,0.0,0.0,0.0
438354,Unspecified,0.0,0.0,0.0
445351,Unspecified,0.0,0.0,0.0
446312,Morgenbajer,520.0,546.0,520.0
446489,Unspecified,0.0,0.0,0.0
446521,To Go Kop (Tilkøb),165.0,173.25000000000003,165.0
446537,Unspecified,0.0,0.0,0.0
446930,Unspecified,0.0,0.0,0.0
447117,Unspecified,0.0,0.0,0.0
447223,Unspecified,0.0,0.0,0.0
447384,Unspecified,0.0,0.0,0.0
447545,Crispy Løgringe (4 stk.),495.0,519.75,495.0
448477,Drikkevarer,480.0,504.0,480.0
448509,Herreklipning,0.0,0.0,0.0
448510,Pensionist Herreklipning,0.0,0.0,0.0
448511,Dameklipning,0.0,0.0,0.0
448512,Pensionist Dameklipning,0.0,0.0,0.0
448513,Børneklipning,0.0,0.0,0.0
448518,Farvning Kort Hår,0.0,0.0,0.0
448526,Vask og Føn Kort Hår,0.0,0.0,0.0
448616,Hvidløg i Bæger,70.0,73.5,70.0
449391,Unspecified,0.0,0.0,0.0
449469,Se ordreseddel,0.0,0.0,0.0
449606,Ekstra Løgringe,413.0,433.65000000000003,413.0
449607,Ekstra Bøf,209.0,219.45,209.0
449608,Ekstra Spejlæg,495.0,519.7500000000001,495.0
449610,Ekstra Ribben,288.0,302.40000000000003,288.0
449817,Burgerbolle/Pølsebrød Pr. Stk.,520.0,546.0,520.0
450484,Guld barre,168.0,176.40000000000003,168.0
450790,Bamsehoved,260.0,273.0,260.0
