id,place_id,created,title,type,multiple_selections,minimum_selections,maximum_selections,index,created_datetime
788603,595624,1704896160,Børne Choice,Optional,0,1,1,9,2024-01-10T16:16:00
788604,595624,1704896160,Børne Grill,Optional,0,1,1,10,2024-01-10T16:16:00
788605,595624,1704896160,Size 2,Optional,0,1,1,11,2024-01-10T16:16:00
788606,595624,1704896160,Size 3,Optional,0,1,1,12,2024-01-10T16:16:00
788607,595624,1704896160,Sodavand Choice,Optional,0,1,1,13,2024-01-10T16:16:00
799152,465308,1704929049,Size,Optional,0,1,1,0,2024-01-11T01:24:09
799726,766639,1704948466,Size 1,Optional,0,1,1,0,2024-01-11T06:47:46
799727,766639,1704948466,Size 2,Optional,0,1,1,1,2024-01-11T06:47:46
799728,766639,1704948466,Size 3,Optional,0,1,1,2,2024-01-11T06:47:46
799729,766639,1704948466,Size 4,Optional,0,1,1,3,2024-01-11T06:47:46
799730,766639,1704948466,Size 5,Optional,0,1,1,4,2024-01-11T06:47:46
799731,766639,1704948466,Size 6,Optional,0,1,1,5,2024-01-11T06:47:46
799732,766639,1704948466,Size 7,Optional,0,1,1,6,2024-01-11T06:47:46
799733,766639,1704948466,Size 8,Optional,0,1,1,7,2024-01-11T06:47:46
799734,766639,1704948466,Size 9,Optional,0,1,1,8,2024-01-11T06:47:46
799735,766639,1704948466,Size 10,Optional,0,1,1,9,2024-01-11T06:47:46
799736,766639,1704948466,Alm Ekstra Tilbehør,Optional,0,1,35,10,2024-01-11T06:47:46
799737,766639,1704948466,Fam Ekstra Tilbehør,Optional,0,0,35,11,2024-01-11T06:47:46
799738,766639,1704948466,Buggi Cheese Choice,Optional,0,0,1,12,2024-01-11T06:47:46
799739,766639,1704948466,Buggi Dobbelt Bacon Cheese Choice,Optional,0,0,1,13,2024-01-11T06:47:46
805361,465308,1704974393,Ekstra (L),Optional,1,1,5,2,2024-01-11T13:59:53
805368,465308,1704974423,Ekstra (XL),Optional,1,1,5,3,2024-01-11T14:00:23
805399,465308,1704974594,Ekstra i bæger,Optional,1,1,5,4,2024-01-11T14:03:14
808632,757577,1704982776,EkstraTilbheør,Optional,0,1,34,0,2024-01-11T16:19:36
808633,757577,1704982776,Dressing På Pizza,Optional,0,0,6,1,2024-01-11T16:19:36
808634,757577,1704982776,Bærepose,Optional,0,0,1,2,2024-01-11T16:19:36
808635,757577,1704982776,"Sodavand 0,33 L Choice",Optional,0,1,1,3,2024-01-11T16:19:36
808636,757577,1704982776,"Italensk sodavand 0,33 L",Optional,0,1,1,4,2024-01-11T16:19:36
808637,757577,1704982776,"Øl 0,33 L Choice",Optional,0,1,1,5,2024-01-11T16:19:36
808918,757577,1704983308,EkstraTilbheør,Optional,0,0,34,0,2024-01-11T16:28:28
808919,757577,1704983308,Dressing På Pizza,Optional,0,0,6,1,2024-01-11T16:28:28
808920,757577,1704983308,Bærepose,Optional,0,0,1,2,2024-01-11T16:28:28
808921,757577,1704983308,"Sodavand 0,33 L Choice",Optional,0,1,1,3,2024-01-11T16:28:28
808922,757577,1704983308,"Italiensk sodavand 0,33 L",Optional,0,1,1,4,2024-01-11T16:28:28
808923,757577,1704983308,"Øl 0,33 L Choice",Optional,0,1,1,5,2024-01-11T16:28:28
809420,757577,1704984411,"Sodavand 1,5 L Choice",Optional,0,1,1,6,2024-01-11T16:46:51
809487,582373,1704984636,Bagel Brød,Optional,0,1,1,0,2024-01-11T16:50:36
809488,582373,1704984636,Smørelse,Optional,0,1,1,1,2024-01-11T16:50:36
809489,582373,1704984636,Protein,Optional,0,1,1,2,2024-01-11T16:50:36
809490,582373,1704984636,Ekstra Protein,Optional,0,0,3,3,2024-01-11T16:50:36
809491,582373,1704984636,Tilbehør,Optional,0,1,3,4,2024-01-11T16:50:36
809492,582373,1704984636,Dressing,Optional,0,1,1,5,2024-01-11T16:50:36
809493,582373,1704984636,Tilføj Sodavand,Optional,0,0,3,6,2024-01-11T16:50:36
809494,582373,1704984636,Sandwich Brød,Optional,0,1,1,7,2024-01-11T16:50:36
809495,582373,1704984636,Salat Brød,Optional,0,1,1,8,2024-01-11T16:50:36
810380,686203,1704986873,Drikkevarer,Optional,0,1,1,0,2024-01-11T17:27:53
810829,659083,1704987860,Size 1,Optional,0,1,1,0,2024-01-11T17:44:20
810830,659083,1704987860,Brunch Choice,Optional,0,0,10,1,2024-01-11T17:44:20
810831,659083,1704987860,Smørrebrød Choice,Optional,0,1,1,2,2024-01-11T17:44:20
810832,659083,1704987860,Frida's Sandwich Choice,Optional,0,0,1,3,2024-01-11T17:44:20
820233,465308,1705011822,Prove,Optional,0,0,5,5,2024-01-12T00:23:42
